KELT_ID	2MASS_ID	TIC_ID	In_CTL	TESS_priority	FP_type_name	FP_type	RA_hours	RA_deg	RA_hms	Dec_dms	Dec_deg	Galactic_long	Galactic_lat	Ecliptic_long	Ecliptic_lat	Vmag	Tc	Tc_err	Period_days	Period_err	Duration_hrs	KELT_depth_mmag	EB_K_km/s	EB_depth_mmag	NEB_RA	NEB_Dec	NEB_dist_text	NEB_dist_arcsec	NEB_dist_is_approx_flag	NEB_direction	NEB_depth_text	NEB_depth_percent	NEB_depth_is_approx_flag	NEB_depth_is_lower_limit	NEB_obs_epoch	NEB_obs_filter	
KJ06C001078	J06593615+0104056	237853540	1	0.000192674512176	SB1	1	6.99336111	104.90041667	06:59:36.10	01:04:05.60	1.06822222	212.912	2.3034	106.04591667	-21.54488889	7.94	2457048.96	0.26	18.7956	0.0041	13.44	9.13	28.0	nan				nan	nan			nan	nan	nan	nan		
KJ06C001172	J08002253+0314559	452822117	1	0.000683821103743	SB1	1	8.00625	120.09375	08:00:22.50	03:14:56.20	3.24894444	217.992	16.8043	121.55769444	-16.95427778	7.92	2457054.731	0.057	7.51559	0.00037	13.128	6.35	15.0	nan				nan	nan			nan	nan	nan	nan		
KJ06C008731	J07270592+0007168	318577260	1	0.000520953003582	SB1	1	7.45163889	111.77458333	07:27:05.90	00:07:16.90	0.12136111	216.914	7.98349	113.50680556	-21.55855556	9.81	2457029.272	0.043	31.8937	0.0015	4.632	20.4	nan	nan				nan	nan			nan	nan	nan	nan		
KJ06C017652	J07095815+0038438	292944679	1	0.000492563508598	SB1	1	7.16616667	107.4925	07:09:58.20	00:38:44.00	0.64555556	214.472	4.41731	108.86783333	-21.65527778	10.8	2457062.365	0.0052	1.8149755	1e-05	2.2008	10.89	22.0	nan				nan	nan			nan	nan	nan	nan		
KJ06C043751	J07113296+0822165	262701617	1	0.000402121952074	SB1	1	7.1925	107.8875	07:11:33.00	08:22:16.50	8.37125	207.712	8.25363	108.24619444	-13.94219444	11.9	2457069.61	0.013	1.834092	2.2e-05	2.8	24.0	18.0	nan				nan	nan			nan	nan	nan	nan		
KJ06C053686	J07194619+1013415	453148208	1	0.000738928803507	SB1	1	7.3295	109.9425	07:19:46.20	10:13:41.50	10.22819444	206.929	10.8925	110.05638889	-11.83336111	11.57	2457053.121	0.1	19.5253	0.0017	10.488	18.2	26.0	nan				nan	nan			nan	nan	nan	nan		
KJ06C082771	J07083883+0055037	292534262	1	0.00100014270617	SB1	1	7.14411111	107.16166667	07:08:38.80	00:55:03.70	0.91769444	214.078	4.24713	108.47780556	-21.42747222	11.57	2457057.962	0.014	2.760408	4.4e-05	3.2088	26.7	14.0	nan				nan	nan			nan	nan	nan	nan		
KS13C002523	J18222696-0044511 	169130773	1	0.000708670931668	SB1	1	18.37415594	275.6123391	18:22:26.961384	-00:44:51.195480	-0.7475543	28.9453	6.10281	276.07913889	22.57338889	8.88	2457199.275	0.0028	1.009313	3.6e-06	2.0712	6.67	nan	nan				nan	nan			nan	nan	nan	nan		
KJ06C057724	J07341433+1456446	247165256	0	nan	SB1	1	7.57063889	113.55958333	07:34:14.30	14:56:44.60	14.94572222	204.087	16.0963	112.87925	-6.64188889	11.85	2457058.686	0.02	2.676251	4.7e-05	4.584	18.7	45.0	nan				nan	nan			nan	nan	nan	nan		
KS13C006984	J18050155+0929588 	399383636	1	0.00134608291296	SB1	1	18.08376384	271.2564576	18:05:01.5498240	09:29:58.844400	9.499679	36.2748	14.5843	271.47652778	32.93252778	9.95	2457197.306	0.04	8.48141	0.00026	7.032	6.02	nan	nan				nan	nan			nan	nan	nan	nan		
KS14C008935	J19422719+1319186 	342282954	1	0.000495593349797	SB1	1	19.70755513	295.6133269	19:42:27.198456	13:19:18.539760	13.3218166	50.6394	-4.94052	300.52594444	34.08644444	10.03	2457246.185	0.016	18.0673	0.0003	13.944	16.25	27.0	nan				nan	nan			nan	nan	nan	nan		
KS14C020221	J19380994+1445141 	96262250	1	0.000773657799645	SB1	1	19.63609621	294.5414432	19:38:09.9463680	14:45:14.137200	14.753927	51.3815	-3.33293	299.64408333	35.70172222	10.6	2457248.827	0.0072	3.020457	2e-05	3.022	7.76	10.0	nan				nan	nan			nan	nan	nan	nan		
KS14C067174	J19142089+0920176 	208798268	0	nan	SB1	1	19.23914253	288.5871379	19:14:20.913096	09:20:17.544120	9.3382067	43.8458	-0.782401	291.62063889	31.39297222	11.53	2457245.399	0.029	13.34951	0.00033	4.44	31.2	10.0	nan				nan	nan			nan	nan	nan	nan		
KS17C00842	J22584992-5646240	220494637	1	0.00799071135005	SB1	1	22.98052778	344.70791667	22:58:49.90	-56:46:24.10	-56.77336111	329.184	-54.2345	318.63933333	-45.23466667	8.33	2456915.127	0.009	15.11942	0.00018	5.304	10.37	18.0	nan				nan	nan			nan	nan	nan	nan		
KS14C022033	J19441978+0447598 	366709205	1	0.000838765454046	SB1	1	19.73882399	296.0823598	19:44:19.766352	04:47:59.856360	4.7999601	43.3528	-9.48017	299.07755556	25.64463889	11.22	2457247.811	0.0065	2.039315	1.3e-05	2.05	9.79	27.0	nan				nan	nan			nan	nan	nan	nan		
KS17C03316	J00180741-4442464	7145284	1	0.00768132565173	SB1	1	0.30205556	4.53083333	00:18:07.40	-44:42:46.50	-44.71291667	321.551	-71.1915	342.13372222	-41.89975	9.85	2456930.67	0.017	1.98404	nan	3.6864	3.0	10.0	nan				nan	nan			nan	nan	nan	nan		
KS17C18695	J00334393-4453446	80316979	1	0.00528728568051	SB1	1	0.56219444	8.43291667	00:33:43.90	-44:53:44.80	-44.89577778	313.058	-71.8827	345.17683333	-43.54311111	12.15	2456909.367	0.019	11.83935	0.0002	4.248	30.3	15.0	nan				nan	nan			nan	nan	nan	nan		
KS18C06229	J00345251-3932114	116880230	1	0.000742089118275	SB1	1	0.58125	8.71875	00:34:52.50	-39:32:11.50	-39.53652778	317.402	-77.1227	349.16105556	-39.09025	11.01	2456926.806	0.012	25.68165	0.00039	6.0	24.8	38.0	nan				nan	nan			nan	nan	nan	nan		
KS18C10960	J01240578-4603462	262548697	1	0.00334577083998	SB1	1	1.40161111	21.02416667	01:24:05.80	-46:03:46.40	-46.06288889	286.195	-69.9895	354.87855556	-49.43780556	11.38	2456930.632	0.0056	4.229827	2.9e-05	2.04	20.7	7.0	nan				nan	nan			nan	nan	nan	nan		
KS18C16015	J00271652-4134175	115693377	1	0.0029350794654	SB1	1	0.45458333	6.81875	00:27:16.50	-41:34:17.70	-41.57158333	320.326	-74.7305	346.20038889	-40.10063889	11.77	2456932.449	0.011	4.928044	6.4e-05	2.4864	24.0	44.0	nan				nan	nan			nan	nan	nan	nan		
KS18C20997	J02240649-4912353	166710906	1	0.00136526352853	SB1	1	2.40180556	36.02708333	02:24:06.50	-49:12:35.50	-49.20986111	270.206	-61.6137	5.55411111	-57.93822222	12.26	2456925.812	0.031	12.64669	0.00056	4.968	37.6	32.0	nan				nan	nan			nan	nan	nan	nan		
KS19C06258	J03515854-4504581	101124725	1	0.000827180121236	SB1	1	3.86627778	57.99416667	03:51:58.60	-45:04:58.20	-45.08283333	251.783	-50.0138	35.57452778	-62.60630556	10.55	2456600.873	0.015	7.70907	0.00015	3.36	14.1	69.0	nan				nan	nan			nan	nan	nan	nan		
KS19C09290	J03573264-6306122	237938005	1	0.0016658019134	SB1	1	3.95905556	59.38583333	03:57:32.60	-63:06:12.20	-63.10338889	276.199	-43.1307	0.61013889	-76.67994444	11.2	2456601.443	0.0083	1.538582	16.0	1.32	11.0	19.0	nan				nan	nan			nan	nan	nan	nan		
KS20C001560	J05022437-5019577 	219368159	1	0.00144494603538	SB1	1	5.04011111	75.60166667	05:02:24.40	-50:19:57.70	-50.33269444	257.13	-37.6755	58.70038889	-72.20983333	8.77	2456637.126	0.042	6.91582	0.00028	5.424	6.54	200.0	nan				nan	nan			nan	nan	nan	nan		
KS20C002280	J04122218-4411538 	152503179	1	0.00120614718732	SB1	1	4.20616667	63.0925	04:12:22.20	-44:11:53.90	-44.19830556	249.671	-46.5548	43.62630556	-63.37027778	9.2	2457001.03	0.5	15.8984	0.0054	3.768	8.3	41.0	nan				nan	nan			nan	nan	nan	nan		
KS20C019198	J03372619-5311360	206384288	0	nan	SB1	1	3.62394444	54.35916667	03:37:26.20	-53:11:35.60	-53.19322222	264.924	-49.8571	20.16911111	-68.16630556	12.54	2456622.349	0.0051	1.641382	1.1e-05	2.94	28.3	10.0	nan				nan	nan			nan	nan	nan	nan		
KS20C022635	J05111404-5216514 	219397168	1	0.0021125075072	SB1	1	5.18722222	77.80833333	05:11:14.00	-52:16:51.40	-52.28094444	259.521	-36.2452	61.09513889	-74.49655556	12.23	2456620.87	0.0052	2.384197	1.5e-05	2.59	50.0	80.0	nan				nan	nan			nan	nan	nan	nan		
KS21C001303	J06574671-4201432 	130372249	1	0.00140615959708	SB1	1	6.96297222	104.44458333	06:57:46.70	-42:01:43.10	-42.02863889	252.115	-16.6781	115.20561111	-64.20925	8.13	2456915.821	0.0014	0.9112138	1.3e-06	1.8384	10.8	13.0	nan				nan	nan			nan	nan	nan	nan		
KS21C007026	J06134110-4031102 	267195931	1	0.0018991227107	SB1	1	6.22808333	93.42125	06:13:41.10	-40:31:10.30	-40.51952778	247.742	-24.0291	95.91627778	-63.88858333	9.91	2456916.212	0.0056	4.370111	2.5e-05	5.8392	12.43	17.0	nan				nan	nan			nan	nan	nan	nan		
KS21C019945	J06213093-6034462 	150300654	1	0.00372558927762	SB1	1	6.35858333	95.37875	06:21:30.90	-60:34:46.20	-60.5795	269.795	-27.0068	114.25013889	-83.56302778	10.96	2456915.372	0.0065	5.450137	3.4e-05	5.6256	25.5	27.0	nan				nan	nan			nan	nan	nan	nan		
KS22C020890	J08313281-3025428 	393619209	1	0.000619672421682	SB1	1	8.52577778	127.88666667	08:31:32.80	-30:25:43.00	-30.42861111	251.234	5.37699	141.38694444	-47.33825	10.81	2456643.911	0.014	5.734687	8.1e-05	6.708	24.7	31.0	nan				nan	nan			nan	nan	nan	nan		
KS22C043344	J09074525-2500254 	38122308	1	0.00141965033139	SB1	1	9.12925	136.93875	09:07:45.30	-25:00:25.60	-25.00711111	251.929	15.0218	148.89133333	-39.3445	12.05	2456660.678	0.016	4.137203	6.4e-05	3.1848	24.9	53.0	nan				nan	nan			nan	nan	nan	nan		
KS22C072647	J09272468-1146444 	46800437	1	0.00222224294493	SB1	1	9.45686111	141.85291667	09:27:24.70	-11:46:44.50	-11.77902778	244.229	27.0735	148.40258333	-25.32922222	12.13	2456695.175	0.037	1.55837	6.8e-05	5.328	12.0	nan	nan				nan	nan			nan	nan	nan	nan		
KS23C04371	J10241786-0951379	36841966	1	0.00126377000775	SB1	1	10.40497222	156.07458333	10:24:17.90	-09:51:37.80	-9.8605	253.896	38.6209	161.66383333	-18.42438889	9.9	2457101.764	0.027	9.04436	0.00017	5.66	6.432	35.0	nan				nan	nan			nan	nan	nan	nan		
KS23C05458	J10370694-2534177	187930369	1	0.0022968094892	SB1	1	10.61858333	159.27875	10:37:06.90	-25:34:17.70	-25.57158333	268.464	28.1647	171.82975	-31.53213889	10.18	2456697.296	0.0047	4.93655	2.4e-05	3.948	21.66	nan	nan				nan	nan			nan	nan	nan	nan		
KS23C09106	J10341890-2948553	193271278	1	0.00157947041912	SB1	1	10.57191667	158.57875	10:34:18.90	-29:48:55.40	-29.81538889	270.51	24.2882	173.43508333	-35.60722222	10.75	2456698.681	0.014	2.17428	3.9e-05	3.312	10.6	nan	nan				nan	nan			nan	nan	nan	nan		
KS27C003356	J20324886-5430596 	220370608	0	nan	SB1	1	20.54691667	308.20375	20:32:48.90	-54:30:59.70	-54.51658333	343.562	-36.3302	295.80647222	-34.44730556	9.11	2456864.277	0.1	8.0626	0.00093	7.68	3.32	21.0	nan				nan	nan			nan	nan	nan	nan		
KS27C005722	J19590323-5637576 	410314066	1	0.00146794312374	SB1	1	19.98422222	299.76333333	19:59:03.20	-56:37:57.60	-56.63266667	341.064	-31.5438	289.51777778	-35.19261111	9.91	2456849.071	0.0077	29.74913	0.00025	6.3504	30.1	23.0	nan				nan	nan			nan	nan	nan	nan		
KS27C007821	J18261505-5701376	119385625	1	0.00110755408135	SB1	1	18.43752778	276.56291667	18:26:15.10	-57:01:37.80	-57.02716667	337.887	-19.2333	274.28716667	-33.6855	10.21	2455277.802	nan	3.2824428	nan	2.79	10.0	34.7	nan				nan	nan			nan	nan	nan	nan		
KS27C009001	J20010743-5518423 	320913313	1	0.00222808169773	SB1	1	20.01872222	300.28083333	20:01:07.40	-55:18:42.40	-55.31177778	342.63	-31.7748	290.247	-33.98091667	10.34	2455276.071	nan	2.7342562	nan	1.97	11.5	31.0	nan				nan	nan			nan	nan	nan	nan		
KS27C011528	J19051584-5829032 	446523110	1	0.00140510068656	SB1	1	19.08772222	286.31583333	19:05:15.80	-58:29:03.30	-58.48425	337.962	-24.631	280.40952778	-35.63311111	10.49	2456863.713	0.014	13.87595	0.00031	3.888	22.1	18.0	nan				nan	nan			nan	nan	nan	nan		
KS27C030187	J19380730-5607037 	261374150	1	0.00176769488733	SB1	1	19.63536111	294.53041667	19:38:07.30	-56:07:03.60	-56.11766667	341.389	-28.6148	286.22177778	-34.05152778	12.34	2455279.313	nan	5.03049	nan	2.64	21.0	27.0	nan				nan	nan			nan	nan	nan	nan		
KS27C034885	J20514557-4007358 	389476454	0	nan	SB1	1	20.86266667	312.94	20:51:45.60	-40:07:35.60	-40.12655556	1.85122	-39.4164	304.07997222	-21.63172222	12.4	2455278.259	nan	3.6636414	nan	3.25	45.4	38.0	nan				nan	nan			nan	nan	nan	nan		
KS28C13383	J22093897-5012001	143895569	1	0.00260092845132	SB1	1	22.16083333	332.4125	22:09:39.00	-50:12:00.30	-50.20008333	344.905	-51.6156	314.48708333	-35.94241667	12.16	2456915.705	0.031	7.2695	0.00019	2.904	21.2	65.0	nan				nan	nan			nan	nan	nan	nan		
KS34C002372	J08420754-4814409 	93996989	0	nan	SB1	1	8.70211111	130.53166667	08:42:07.60	-48:14:40.80	-48.24466667	266.702	-3.72169	158.825	-62.34691667	8.2	2456972.796	0.0086	9.089669	5e-05	4.2192	7.12	85.0	nan				nan	nan			nan	nan	nan	nan		
