#prefix name     group           internal_name             RA             DEC            Discovery Time         Type            Mag     Filter                 Redshift     Host Galaxy                              Host Redshift
    #AT    1935B            None                      None   10:05:11.400   -07:42:08.00                   None    Unclassified     0.0                   None          -99                                  NGC3115          -99
    AT    1953D            None                      None   10:18:36.800   -17:58:08.00 1953-03-08 00:00:00.000    Unclassified    19.5                   None          -99                                  NGC3200          -99
    AT    1983E            None                      None   09:53:42.840   +01:34:34.39 1983-03-13 00:00:00.000    Unclassified    14.0                   None          -99                                  NGC3044          -99
    SN    1984E            None                      None   10:14:11.000   +03:28:13.00 1984-03-26 00:00:00.000            SNII    15.0                   None          -99                                  NGC3169          -99
    AT   1988ag            None                      None   09:56:45.850   +06:56:22.49 1988-12-11 00:00:00.000    Unclassified    18.0                   None          -99                                    Anon.          -99
    SN    1989C            None                      None   09:47:45.500   +02:37:36.00 1989-02-03 00:00:00.000           SNIIP    14.5                   None     0.006252                                  UGC5249          -99
    SN    1991K            None                      None   09:20:30.461   -16:30:01.80 1991-02-20 00:00:00.000            SNIb    16.5                   None          -99                                  NGC2851          -99
    AT    1991Z            None                      None   10:54:40.500   -04:12:28.80 1991-05-06 00:00:00.000    Unclassified    20.0                   None          -99                                    Anon.          -99
    SN   1994aj            None                      None   09:06:11.251   -10:40:00.01 1994-12-12 00:00:00.000            SNII    18.0                   None          -99                                    Anon.          -99
    SN    1994L            None                      None   09:20:17.100   -16:31:60.00 1994-04-08 00:00:00.000            SNII    14.7                   None        0.006                                  NGC2848          -99
    SN    1995D            None                      None   09:40:54.751   +05:08:26.20 1995-02-10 00:00:00.000            SNIa    14.0                   None          -99                                  NGC2962          -99
    SN    1995K            None                      None   10:50:46.999   -09:15:07.42 1995-03-30 00:00:00.000            SNIa    22.5                   None          -99                                    Anon.          -99
    SN    1995M            None                      None   09:38:41.779   -12:20:07.91 1995-04-22 00:00:00.000            SNIa    18.5                   None          -99                                    Anon.          -99
    SN   1996cf            None                      None   10:48:50.959   +00:03:30.38 1996-03-17 00:00:00.000            SNIa    22.7                   None          -99                                    Anon.          -99
    SN    1996E            None                      None   10:10:20.280   -12:33:09.22 1996-02-14 00:00:00.000            SNIa    22.2                   None          -99                                    Anon.          -99
    SN    1996F            None                      None   10:50:03.619   -09:22:30.22 1996-02-14 00:00:00.000            SNII    22.5                   None          -99                                    Anon.          -99
    SN    1996J            None                      None   10:10:33.209   -12:37:05.20 1996-02-20 00:00:00.000            SNIa    22.5                   None          -99                                    Anon.          -99
    SN    1996T            None                      None   10:05:27.660   -07:27:23.90 1996-03-15 00:00:00.000            SNIa    21.0                   None          -99                                    Anon.          -99
    SN   1997ag            None                      None   09:58:53.350   -00:20:29.00 1997-03-05 00:00:00.000            SNIa    23.2                   None          -99                                    Anon.          -99
    SN   1997ah            None                      None   10:00:02.921   -00:23:30.70 1997-03-05 00:00:00.000            SNIa    23.6                   None          -99                                    Anon.          -99
    SN   1997ai            None                      None   10:48:57.610   +00:31:50.02 1997-03-05 00:00:00.000            SNIa    22.3                   None          -99                                    Anon.          -99
    AT   1997at            None                      None   10:43:37.630   -00:49:06.49 1997-03-08 00:00:00.000    Unclassified    21.6                   None          -99                                    Anon.          -99
    AT   1997av            None                      None   10:23:11.239   +04:13:44.51 1997-03-08 00:00:00.000    Unclassified    21.4                   None          -99                                    Anon.          -99
