#prefix name     group           internal_name             RA             DEC            Discovery Time         Type            Mag     Filter                 Redshift     Host Galaxy                              Host Redshift
    #AT    1958F            None                      None   13:20:38.300   -43:42:07.00                   None    Unclassified    16.0                   None          -99                                  NGC5082          -99
    AT    1981C            None                      None   13:21:12.900   -43:43:14.00 1981-03-02 00:00:00.000    Unclassified    14.5                   None          -99                                  NGC5090          -99
    AT    1983A            None                      None   12:52:37.690   -39:01:58.01 1983-01-13 00:00:00.000    Unclassified    17.5                   None          -99                               ESO323-G25          -99
    AT    1983X            None                      None   13:21:36.400   -45:56:04.00 1983-04-06 00:00:00.000    Unclassified    18.0                   None          -99                                ESO270-G5          -99
    SN    1984I            None                      None   13:14:36.900   -42:40:05.00 1984-05-10 00:00:00.000             SNI    16.8                   None          -99                               ESO323-G99          -99
    SN    1986G            None                      None   13:25:36.509   -43:01:54.19 1986-05-03 00:00:00.000            SNIa    12.5                   None          -99                                  NGC5128          -99
    AT    1990I            None                      None   12:44:50.290   -40:43:36.80 1990-04-27 00:00:00.000    Unclassified    16.0                   None          -99                                  NGC4650          -99
    SN    1992K            None                      None   13:10:04.200   -46:26:30.30 1992-03-03 00:00:00.000        SNIa-pec    16.2                   None          -99                                    Anon.          -99
    SN    1996L            None                      None   11:38:37.800   -43:25:13.80 1996-03-19 00:00:00.000           SNIIn    18.5                   None          -99                               ESO266-G10          -99
    SN    1996S            None                      None   11:25:11.160   -35:26:29.11 1996-03-15 00:00:00.000            SNII    22.5                   None          -99                                    Anon.          -99
    SN   2001cz            None                      None   12:47:30.170   -39:34:48.11 2001-07-04 00:00:00.000            SNIa    14.7                   None          -99                                  NGC4679          -99
    AT   2001jx            None                      None   12:42:40.039   -40:43:12.50 2001-05-25 00:00:00.000    Unclassified    17.5                   None          -99                                  NGC4622          -99
    SN   2005af            None                      None   13:04:44.059   -49:33:59.80 2005-02-08 00:00:00.000            SNII    12.8                   None          -99                                  NGC4945          -99
    SN   2006co            None                      None   12:52:40.930   -39:01:48.90 2006-05-27 00:00:00.000            SNII    16.0                   None          -99                               ESO323-G25          -99
    SN   2007ft            None                      None   12:47:03.701   -41:35:21.98 2007-07-15 00:00:00.000            SNIa    16.0                   None          -99                                  NGC4677          -99
    SN   2008cn            None                      None   12:40:55.661   -40:58:12.11 2008-05-21 00:00:00.000            SNII    15.3                   None          -99                                  NGC4603          -99
    AT   2008dp            None                      None   11:49:48.859   -38:47:02.11 2008-06-25 00:00:00.000    Unclassified    17.3                   None          -99                                ESO320-26          -99
    AT   2008ib            None                      None   12:52:37.939   -39:01:32.59 2008-12-02 00:00:00.000    Unclassified    15.8                   None          -99                                ESO323-25          -99
    SN   2008ig            None                      None   12:58:05.700   -43:20:03.59 2008-12-15 00:00:00.000            SNIa    15.8                   None          -99                                ESO269-20          -99
    SN   2009ah            None                      None   11:59:12.060   -53:24:06.52 2009-02-19 00:00:00.000           SNIIb    16.0                   None          -99                                 ESO171-4          -99
    SN   2009el            None                      None   13:14:20.470   -46:06:44.89 2009-05-12 00:00:00.000            SNII    15.3                   None          -99                                ESO269-74          -99
    SN   2009ev            None                      None   13:14:17.580   -42:58:48.79 2009-05-27 00:00:00.000            SNIa    14.6                   None          -99                                  NGC5026          -99
    SN   2009fj            None                      None   12:06:22.970   -44:27:34.31 2009-05-27 00:00:00.000            SNIa    13.8                   None          -99                                ESO267-16          -99
    AT   2009hg            None                      None   12:54:42.610   -39:51:16.31 2009-07-09 00:00:00.000    Unclassified    16.9                   None          -99                                ESO323-41          -99
    SN   2010bt            None                      None   12:48:20.220   -34:57:16.49 2010-04-17 00:00:00.000           SNIIn    15.8                   None          -99                                  NGC7130          -99
    AT   2010dv            None                      None   11:49:03.430   -37:30:59.69 2010-06-04 00:00:00.000    Unclassified    17.5                   None          -99                                  NGC3903          -99
    AT    2010W            None                      None   11:56:48.070   -38:11:11.29 2010-02-07 00:00:00.000    Unclassified    16.7                   None          -99                                    Anon.          -99
    SN   2011am            None                      None   12:16:25.999   -43:19:19.99 2011-02-27 00:00:00.000            SNIb    17.4                   None          -99                                  NGC4219          -99
    SN   2011bb            None                      None   11:35:27.091   -38:00:54.90 2011-03-14 00:00:00.000            SNIa    16.6                   None          -99                                    Anon.          -99
    SN   2011hp            None                      None   12:16:25.471   -43:19:46.88 2011-11-03 00:00:00.000            SNIc    15.7                   None          -99                                  NGC4219          -99
    SN   2011ja            None                      None   13:05:11.119   -49:31:27.01 2011-12-18 00:00:00.000           SNIIP    14.0                   None          -99                                  NGC4945          -99
    SN   2012bb            None                      None   12:19:51.970   -36:27:26.10 2012-02-02 00:00:00.000           SNIIP    15.9                   None          -99                                    Anon.          -99
    SN   2012bc            None                      None   10:58:14.990   -46:34:31.51 2012-02-03 00:00:00.000            SNIa    17.8                   None          -99                                    Anon.          -99
    SN   2012cj            None                      None   13:28:43.430   -48:54:35.60 2012-05-18 00:00:00.000           SNIIP    17.6                   None          -99                                  NGC5156          -99
    SN   2012hv            None                      None   12:47:29.299   -43:19:44.29 2012-12-16 00:00:00.000           SNIIP    16.1                   None          -99                                  NGC4681          -99
    SN    2013L            None                      None   11:45:29.551   -50:35:53.09 2013-01-22 00:00:00.000           SNIIn    15.6                   None          -99                                ESO216-39          -99
    SN   2014ar            None                      None   11:40:58.901   -44:29:05.71 2014-04-18 00:00:00.000            SNIc    17.6                   None          -99                               ESO266-G15          -99
    SN   2014dw            None                      None   11:10:48.410   -37:27:02.20 2014-11-06 00:00:00.000            SNII    15.5                   None          -99                                  NGC3568          -99
    SN    2014P            None                      None   10:54:04.001   -45:48:43.60 2014-02-02 00:00:00.000           SNIIn    17.8                   None          -99                               ESO264-G49          -99
    SN    2014X            None                      None   12:10:40.219   -34:03:40.72 2014-03-01 00:00:00.000            SNIa    16.8                   None          -99                               ESO379-G31          -99
    AT   2015ds            None                      None   12:20:54.046   -62:38:21.99 2015-01-31 00:00:00.000    Unclassified    11.1               3.4_WISE          -99                                     None          -99
    SN  2016adj            BOSS                      None   13:25:24.110   -43:00:57.50 2016-02-08 13:26:43.000            SNIb    14.0                 Clear_          -99                                  NGC5128          -99
    SN  2016adk         ASAS-SN               ASASSN-16bl   11:42:26.700   -36:54:23.20 2016-02-08 05:16:48.000            SNIa    17.3              V_Johnson         0.03                   2MASXJ11422674-3654256     0.029547
