#prefix name     group           internal_name             RA             DEC            Discovery Time         Type            Mag     Filter                 Redshift     Host Galaxy                              Host Redshift
    AT    1977H            None                      None   17:54:08.700   +30:41:43.00                   None    Unclassified    19.0                   None          -99                                 UGC11031          -99
    AT   1989ab            None                      None   18:38:35.100   +32:57:28.00 1989-07-06 00:00:00.000    Unclassified    18.0                   None          -99                                    Anon.          -99
    SN   1998bp            None                      None   17:54:50.710   +18:19:49.30 1998-04-29 00:00:00.000            SNIa    14.8                   None          -99                                  NGC6495          -99
    SN    1998V            None                      None   18:22:37.399   +15:42:08.39 1998-03-10 00:00:00.000            SNIa    16.0                   None          -99                                  NGC6627          -99
    SN   1999bx            None                      None   19:01:41.441   +40:44:52.30 1999-04-26 00:00:00.000            SNII    16.5                   None          -99                                  NGC6745          -99
    AT   1999cq            None                      None   18:32:07.099   +37:36:44.32 1999-06-25 00:00:00.000    Unclassified    15.8                   None          -99                                 UGC11268          -99
    SN   2000cn            None                      None   17:57:40.421   +27:49:58.12 2000-06-02 00:00:00.000            SNIa    17.4                   None          -99                                 UGC11064          -99
    SN   2000dm            None                      None   18:18:58.970   +16:14:53.41 2000-09-24 00:00:00.000            SNIa    16.1                   None          -99                                 UGC11198          -99
    SN   2001ak            None                      None   18:17:31.440   +18:54:00.79 2001-04-01 00:00:00.000            SNII    18.4                   None          -99                                 UGC11188          -99
    SN   2001bf            None                      None   18:01:33.989   +26:15:02.30 2001-05-03 00:00:00.000            SNIa    16.5                   None          -99                             MCG+04-42-22          -99
    SN   2001br            None                      None   18:30:25.550   +34:06:13.00 2001-05-13 00:00:00.000            SNIa    16.6                   None          -99                                 UGC11260          -99
    AT   2001ih            None                      None   18:05:45.000   +34:45:04.00 2001-12-10 00:00:00.000    Unclassified    17.7                   None          -99                              MCG+06-40-3          -99
    SN   2002cu            None                      None   18:10:50.400   +31:06:32.29 2002-05-11 00:00:00.000            SNIa    17.6                   None          -99                                  NGC6575          -99
    SN   2002cw            None                      None   18:46:02.400   +32:17:03.19 2002-05-16 00:00:00.000            SNIb    18.7                   None          -99                                  NGC6700          -99
    SN   2002dk            None                      None   18:17:43.519   +22:14:53.41 2002-06-13 00:00:00.000            SNIa    18.0                   None          -99                                  NGC6616          -99
    SN    2003X            None                      None   18:12:05.669   +29:09:17.32 2003-01-28 00:00:00.000            SNIa    17.0                   None          -99                                 UGC11151          -99
