#prefix name     group           internal_name             RA             DEC            Discovery Time         Type            Mag     Filter                 Redshift     Host Galaxy                              Host Redshift
    AT    1921B            None                      None   10:18:19.000   +41:22:18.00 1921-04-06 00:00:00.000    Unclassified    13.5                   None          -99                                  NGC3184          -99
    AT    1921C            None                      None   10:18:23.100   +41:21:02.00 1921-12-05 00:00:00.000    Unclassified    11.0                   None          -99                                  NGC3184          -99
    AT    1937F            None                      None   10:18:16.700   +41:22:29.00 1937-12-09 00:00:00.000    Unclassified    13.5                   None          -99                                  NGC3184          -99
    AT    1941B            None                      None   10:29:19.600   +29:28:58.00 1941-03-28 00:00:00.000    Unclassified    15.1                   None          -99                                  NGC3254          -99
    AT    1947A            None                      None   10:16:35.600   +21:06:45.00 1947-03-15 00:00:00.000    Unclassified    16.5                   None          -99                                  NGC3177          -99
    AT    1952B            None                      None   09:26:01.200   +29:28:32.00 1952-01-31 00:00:00.000    Unclassified    17.8                   None          -99                   2MASXJ09260068+2928413     0.077807
    AT    1953A            None                      None   11:11:13.200   +28:42:55.00 1953-04-16 00:00:00.000    Unclassified    16.0                   None          -99                                  NGC3561          -99
    AT    1955L            None                      None   11:04:55.800   +30:03:02.00 1955-03-23 00:00:00.000    Unclassified    16.5                   None          -99                              MCG+5-26-47          -99
    AT    1955Q            None                      None   10:56:08.770   +24:09:24.91 1955-03-24 00:00:00.000    Unclassified    17.0                   None          -99                                    Anon.          -99
    SN    1961F            None                      None   09:48:38.311   +33:25:35.11 1961-02-21 00:00:00.000            SNII    13.1                   None          -99                                  NGC3003          -99
    AT    1961G            None                      None   10:22:20.690   +21:13:22.19 1961-05-05 00:00:00.000    Unclassified    18.2                   None          -99                                    Anon.          -99
    AT    1961S            None                      None   10:21:01.951   +21:42:53.78 1961-11-07 00:00:00.000    Unclassified    18.3                   None          -99                                    Anon.          -99
    AT    1961T            None                      None   09:38:59.160   +33:27:09.50 1961-11-08 00:00:00.000    Unclassified    17.5                   None          -99                                    Anon.          -99
    AT    1963U            None                      None   09:53:18.110   +36:05:20.00 1963-12-16 00:00:00.000    Unclassified    15.0                   None          -99                                    Anon.          -99
    AT    1964M            None                      None   10:27:13.099   +20:29:26.70 1964-12-30 00:00:00.000    Unclassified    18.0                   None          -99                                    Anon.          -99
    AT    1965E            None                      None   09:50:07.070   +34:24:54.61 1965-03-26 00:00:00.000    Unclassified    16.4                   None          -99                                    Anon.          -99
    AT    1965N            None                      None   09:59:41.710   +35:23:43.69 1965-12-21 00:00:00.000    Unclassified    15.8                   None          -99                                  NGC3074          -99
    SN    1966J            None                      None   10:19:45.800   +45:30:10.00 1966-12-20 00:00:00.000            SNIa    13.0                   None          -99                                  NGC3198          -99
    AT    1968C            None                      None   11:00:06.600   +26:43:19.00 1968-02-29 00:00:00.000    Unclassified    17.8                   None          -99                                    Anon.          -99
    AT    1970L            None                      None   09:43:20.700   +31:57:06.00 1970-10-31 00:00:00.000    Unclassified    13.0                   None          -99                                  NGC2968          -99
    SN    1971U            None                      None   10:48:27.000   +26:35:05.00 1971-12-16 00:00:00.000             SNI    15.5                   None          -99                                  UGC5912          -99
