#prefix name     group           internal_name             RA             DEC            Discovery Time         Type            Mag     Filter                 Redshift     Host Galaxy                              Host Redshift
    AT  2022evk          MASTER MASTER-OT-J192122.91+193539.5   19:21:22.910   +19:35:39.50 2022-03-17 12:26:34.944    Unclassified    16.2                 Clear_          -99                                     None           None
    AT  2022evs           ATLAS                ATLAS22jey   17:20:52.724   +35:54:17.10 2022-03-15 14:49:45.696    Unclassified  18.886           orange_ATLAS          -99                                     None          -99  None
    AT  2022exl           ATLAS                ATLAS22jho   18:06:43.913   +15:21:18.53 2022-03-19 13:47:23.712              CV  18.048           orange_ATLAS          0.0                                     None          -99  None
    AT  2022exq           ATLAS                ATLAS22jiw   18:52:51.871   +32:29:48.57 2022-03-20 15:05:40.416    Unclassified   18.61           orange_ATLAS          -99                                     None          -99  None
    AT  2022exr           ATLAS                ATLAS22jix   17:29:50.510   +25:50:31.92 2022-03-20 14:41:17.664             TDE  18.397           orange_ATLAS        0.096                                     None          -99  None
    AT  2022ffw      Pan-STARRS                   PS22clm   18:02:31.636   +26:20:58.90 2022-03-26 14:26:00.096    Unclassified   21.12                   w_P1          -99                                     None          -99  None
    AT  2022ffx      Pan-STARRS                   PS22cln   18:40:24.507   +32:33:48.12 2022-03-26 14:35:06.144    Unclassified   20.34                   w_P1          -99                                     None          -99  None
    SN  2022ffz      Pan-STARRS                   PS22clp   17:57:40.562   +31:16:48.29 2022-03-26 14:28:43.392            SNIa   19.55                   w_P1        0.078                                     None          -99  None
    AT  2022fgb      Pan-STARRS                   PS22clr   18:24:38.601   +26:57:21.06 2022-03-26 14:32:21.120    Unclassified   20.38                   w_P1          -99                                     None          -99  None
    AT  2022fgf      Pan-STARRS                   PS22clv   18:04:29.346   +30:09:07.18 2022-03-26 14:27:48.960    Unclassified   19.62                   w_P1          -99                                     None          -99  None
    AT  2022fgh      Pan-STARRS                   PS22clx   18:03:49.615   +29:10:32.60 2022-03-26 14:27:48.960    Unclassified   20.47                   w_P1          -99                                     None          -99  None
    AT  2022fhx      Pan-STARRS                   PS22cmv   17:49:02.811   +39:52:31.33 2022-03-27 14:13:32.736    Unclassified   21.38                   w_P1          -99                                     None          -99  None
    AT  2022fib      Pan-STARRS                   PS22cmz   17:51:46.742   +37:12:39.90 2022-03-27 14:15:21.600    Unclassified   20.75                   w_P1          -99                                     None          -99  None
    AT  2022fjc      Pan-STARRS                   PS22cnw   17:11:35.069   +34:59:29.74 2022-03-27 14:05:22.848    Unclassified   20.32                   w_P1          -99                                     None          -99  None
    AT  2022fjd      Pan-STARRS                   PS22cnx   17:53:02.066   +36:30:44.36 2022-03-27 14:15:21.600    Unclassified   20.77                   w_P1          -99                                     None          -99  None
    AT  2022fjl      Pan-STARRS                   PS22coj   17:58:01.924   +42:14:03.65 2022-03-27 14:12:39.168    Unclassified    20.3                   w_P1          -99                                     None          -99  None
    AT  2022fjz           ATLAS                ATLAS22jxo   18:03:08.037   +36:16:16.98 2022-03-27 10:40:45.408    Unclassified  18.883             cyan_ATLAS          -99                                     None          -99  None
    AT  2022fkg      GaiaAlerts                 Gaia22bcx   18:30:52.730   +26:55:14.84 2022-03-15 09:44:38.400    Unclassified   16.85                 G_Gaia          -99                                     None          -99  None
    AT  2022flo      GaiaAlerts                 Gaia22bdo   18:37:56.660   +13:56:14.60 2022-03-17 03:57:36.000    Unclassified   18.86                 G_Gaia          -99                                     None          -99  None
    AT  2022fox           ATLAS                ATLAS22kht   17:14:59.561   +30:46:57.39 2022-03-31 13:55:50.016    Unclassified   19.59             cyan_ATLAS          -99                                     None          -99  None
    AT  2022frk             ZTF              ZTF22aadglxh   19:00:25.636   +36:50:30.84 2022-04-01 11:13:55.200    Unclassified    19.2                  r_ZTF          -99                                     None          -99  None
    AT  2022fry          ALeRCE              ZTF22aadhkra   18:54:41.976   +39:37:12.56 2022-04-01 12:02:24.003    Unclassified 20.5526                  g_ZTF          -99                              CGCG229-003     0.054805  None
    AT  2022frz          ALeRCE              ZTF22aadheii   19:12:10.797   +32:57:18.09 2022-04-01 11:53:51.003    Unclassified 20.5388                  g_ZTF          -99                                 4C+32.59          -99  None
    AT  2022fyo          ALeRCE              ZTF22aadhhmh   18:31:47.305   +34:17:41.35 2022-04-01 11:26:31.001    Unclassified 20.7883                  r_ZTF          -99                                     None          -99  None
    AT  2022fyr          ALeRCE              ZTF22aadgrrv   18:07:39.532   +36:15:05.41 2022-04-01 11:26:31.001    Unclassified 20.0733                  r_ZTF          -99                 WISEAJ180739.52+361503.4          -99  None
    AT  2022fyu          ALeRCE              ZTF22aadglpk   19:15:01.829   +35:27:49.50 2022-04-01 11:13:49.999    Unclassified 19.4114                  r_ZTF          -99                 WISEAJ191501.75+352749.9          -99  None
    AT  2022gei      Pan-STARRS                   PS22cvh   17:45:16.514   +41:36:01.36 2022-03-27 14:13:32.736    Unclassified   21.24                   w_P1          -99                                     None          -99  None
    AT  2022ggj      Pan-STARRS                   PS22cxi   17:20:54.615   +34:58:31.00 2022-03-27 14:05:22.848    Unclassified   20.91                   w_P1          -99                                     None          -99  None
    AT  2022gkh             ZTF              ZTF22aaeduof   17:38:02.329   +14:09:03.55 2022-04-04 09:23:02.400    Unclassified   19.41                  r_ZTF          -99                                     None          -99  None
    AT  2022gki             ZTF              ZTF22aaedurh   17:43:50.836   +12:28:44.59 2022-04-04 09:23:02.400    Unclassified   18.33                  r_ZTF          -99                                     None          -99  None
    AT  2022gkj             ZTF              ZTF22aaegiaa   18:29:47.350   +18:45:52.87 2022-04-04 10:26:24.000    Unclassified   19.54                  g_ZTF          -99                                     None          -99  None
    AT  2022gkk             ZTF              ZTF22aaeglyx   18:43:12.965   +32:46:10.62 2022-04-04 10:23:31.200    Unclassified   19.96                  g_ZTF          -99                                     None          -99  None
    SN  2022gkm             ZTF              ZTF22aadggnb   17:31:56.820   +17:08:17.56 2022-04-04 09:07:12.000            SNIa   18.56                  r_ZTF         0.08                                     None          -99  None
    AT  2022gkn             ZTF              ZTF22aadgeic   17:22:03.823   +32:41:02.87 2022-04-04 09:18:43.200    Unclassified   19.51                  r_ZTF          -99                                     None          -99  None
    SN  2022gks             ZTF              ZTF22aaefjef   18:22:10.417   +33:14:21.66 2022-04-01 11:26:52.800            SNIa   20.19                  r_ZTF        0.073                                     None          -99  None
    AT  2022gmp          ALeRCE              ZTF22aaeffzq   18:23:34.575   +10:52:42.99 2022-04-04 11:07:31.999    Unclassified 19.7567                  g_ZTF          -99                 WISEAJ182334.57+105242.3          -99  None
    AT  2022gmx          ALeRCE              ZTF22aaedtkj   17:57:39.212   +10:47:31.49 2022-04-04 09:22:11.001    Unclassified 19.0946                  r_ZTF          -99                                     None          -99  None
    AT  2022gna          ALeRCE              ZTF22aadggpb   17:11:52.347   +35:58:28.66 2022-04-04 09:18:43.001    Unclassified 19.3216                  r_ZTF          -99                  SDSSJ171152.34+355828.6          -99  None
    AT  2022gnj            XOSS                    PSP22R   17:03:39.360   +31:32:13.60 2022-03-31 21:19:26.000    Unclassified    18.8                 Clear_          -99                                     None          -99  None
    AT  2022grp          ALeRCE              ZTF22aaeubdw   18:09:01.632   +28:43:13.16 2022-04-04 10:25:13.999    Unclassified 20.2137                  g_ZTF          -99                 WISEAJ180901.96+284312.4          -99  None
    AT  2022grq          ALeRCE              ZTF22aaetuxz   18:03:22.423   +10:26:35.16 2022-04-04 10:27:19.002    Unclassified  19.929                  g_ZTF          -99                  SDSSJ180322.30+102634.0          -99  None
    AT  2022grv          ALeRCE              ZTF22aaetqto   17:32:11.674   +18:47:23.21 2022-04-04 09:07:25.003    Unclassified 19.9441                  r_ZTF          -99                                     None          -99  None
    AT  2022grx          ALeRCE              ZTF22aaetjih   18:03:47.351   +32:13:13.10 2022-04-01 11:55:13.999    Unclassified 21.2329                  g_ZTF          -99                                     None          -99  None
    AT  2022gsk          ALeRCE              ZTF22aaedthy   17:44:26.864   +24:57:50.09 2022-04-04 09:20:47.996    Unclassified 19.5076                  r_ZTF          -99                                     None          -99  None
    AT  2022gtg          ALeRCE              ZTF22aaetivm   17:51:57.384   +26:43:34.65 2022-04-06 10:15:11.998    Unclassified 20.5358                  r_ZTF          -99                                     None          -99  None
    AT  2022gus          ALeRCE              ZTF21abrsydm   17:07:09.940   +24:31:14.57 2022-04-06 10:12:24.002    Unclassified 20.3363                  r_ZTF          -99                  SDSSJ170709.85+243114.6          -99  None
    AT  2022gyx             ZTF              ZTF22aafaosm   17:28:09.661   +29:49:10.73 2022-04-06 10:14:52.800    Unclassified   20.53                  r_ZTF          -99                                     None          -99  None
    AT  2022gzb          ALeRCE              ZTF22aafaouj   17:27:55.502   +27:22:55.81 2022-04-08 10:13:49.996    Unclassified 20.0512                  r_ZTF          -99                  SDSSJ172755.55+272252.7          -99  None
