#prefix name     group           internal_name             RA             DEC            Discovery Time         Type            Mag     Filter                 Redshift     Host Galaxy                              Host Redshift
    AT  2022fau          MASTER MASTER-OT-J115312.32+734323.0   11:53:12.320   +73:43:23.00 2022-03-24 18:37:08.256    Unclassified    19.3                 Clear_          -99                                     None          None
    AT  2022fav          MASTER MASTER-OT-J120723.92+761737.8   12:07:23.920   +76:17:37.80 2022-03-24 17:49:05.088    Unclassified    18.0                 Clear_          -99                                     None          None
    AT  2022fcv           ATLAS                ATLAS22jsd   07:29:11.364   +67:40:51.59 2022-03-25 06:33:28.800    Unclassified  19.198             cyan_ATLAS          -99                                     None          -99 None
    SN  2022foj           ATLAS                ATLAS22khf   20:10:59.330   +86:29:34.51 2022-03-31 13:13:54.048            SNIa  18.216           orange_ATLAS        0.058                                     None          -99 None
    AT  2022frp           ATLAS                ATLAS22knm   05:51:52.165   +76:26:20.92 2022-04-02 05:39:21.888    Unclassified   18.37             cyan_ATLAS          -99                                     None          -99 None
    AT  2022fsg          ALeRCE              ZTF22aadfdvv   19:06:26.374   +86:07:19.31 2022-04-01 09:49:35.996    Unclassified  19.337                  g_ZTF          -99                 WISEAJ190626.04+860719.3          -99 None
    AT  2022fsh          ALeRCE              ZTF22aadfdvu   19:29:41.412   +84:02:52.99 2022-04-01 09:49:35.996    Unclassified 19.6793                  g_ZTF          -99                 WISEAJ192943.12+840253.2          -99 None
    AT  2022fti             ZTF              ZTF22aadkvzl   09:46:18.773   +76:30:47.78 2022-04-02 06:54:43.200    Unclassified   19.52                  g_ZTF          -99                                     None          -99 None
    AT  2022ftj             ZTF              ZTF22aadnjjo   10:06:53.185   +69:39:06.41 2022-04-02 08:18:14.400    Unclassified   19.62                  r_ZTF          -99                                     None          -99 None
    AT  2022fui           ATLAS                ATLAS22koa   08:05:51.360   +66:05:54.38 2022-04-02 07:24:28.224    Unclassified   19.03             cyan_ATLAS          -99                                     None          -99 None
    AT  2022fuo             ZTF              ZTF22aadkwgl   09:17:52.436   +79:22:45.50 2022-04-02 06:54:43.200    Unclassified   19.87                  g_ZTF          -99                                     None          -99 None
    AT  2022fur             ZTF              ZTF22aadnwss   12:59:51.354   +77:34:10.65 2022-04-02 08:42:43.200    Unclassified   19.51                  r_ZTF          -99                                     None          -99 None
    AT  2022fuw          ALeRCE              ZTF22aadqcde   11:41:13.771   +75:01:18.54 2022-04-02 08:43:25.000    Unclassified 20.3774                  r_ZTF          -99                  SDSSJ114113.75+750117.9          -99 None
    AT  2022fux          ALeRCE              ZTF22aadqbcq   12:50:17.192   +79:49:33.17 2022-04-02 08:43:25.000    Unclassified 20.3812                  r_ZTF          -99                 WISEAJ125017.95+794931.8          -99 None
